,battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,runs,dreamll_score
124,Chennai Super Kings,Mumbai Indians,1136561,DL Chahar,0,1,0.0,0.0,1,0,0,0.0,-2.0
125,Chennai Super Kings,Mumbai Indians,1136561,Harbhajan Singh,9,0,0.0,1.0,6,0,0,0.0,1.0
126,Chennai Super Kings,Mumbai Indians,1136561,Imran Tahir,2,0,0.0,0.0,2,0,0,0.0,0.0
127,Chennai Super Kings,Mumbai Indians,1136561,KM Jadhav,27,0,2.0,1.0,23,0,0,11.0,16.0
128,Chennai Super Kings,Mumbai Indians,1136561,MA Wood,3,0,0.0,0.0,5,0,0,0.0,0.0
129,Chennai Super Kings,Mumbai Indians,1136561,MS Dhoni,5,0,0.0,0.0,5,0,0,0.0,0.0
130,Chennai Super Kings,Mumbai Indians,1136561,RA Jadeja,12,0,0.0,1.0,13,0,0,0.0,1.0
131,Chennai Super Kings,Mumbai Indians,1136561,SK Raina,4,0,0.0,0.0,6,0,0,0.0,0.0
132,Chennai Super Kings,Mumbai Indians,1136561,SR Watson,16,0,1.0,1.0,14,0,0,6.0,9.0
122,Chennai Super Kings,Mumbai Indians,1136561,AT Rayudu,22,0,0.0,4.0,19,0,0,0.0,4.0
123,Chennai Super Kings,Mumbai Indians,1136561,DJ Bravo,69,0,7.0,3.0,30,1,0,15.0,40.0
137,Chennai Super Kings,Mumbai Indians,1136587,SR Watson,12,0,0.0,1.0,11,0,0,0.0,1.0
136,Chennai Super Kings,Mumbai Indians,1136587,SK Raina,78,0,4.0,6.0,48,1,0,30.0,52.0
135,Chennai Super Kings,Mumbai Indians,1136587,MS Dhoni,29,0,1.0,3.0,23,0,0,11.0,16.0
134,Chennai Super Kings,Mumbai Indians,1136587,DJ Bravo,0,1,0.0,0.0,1,0,0,0.0,-2.0
133,Chennai Super Kings,Mumbai Indians,1136587,AT Rayudu,47,0,4.0,2.0,36,0,0,15.0,25.0
138,Chennai Super Kings,Mumbai Indians,1136587,SW Billings,3,0,0.0,0.0,5,0,0,0.0,0.0
142,Chennai Super Kings,Mumbai Indians,1175370,KM Jadhav,63,0,1.0,8.0,56,1,0,25.0,43.0
141,Chennai Super Kings,Mumbai Indians,1175370,DL Chahar,7,0,0.0,1.0,7,0,0,0.0,1.0
140,Chennai Super Kings,Mumbai Indians,1175370,DJ Bravo,13,0,1.0,1.0,10,0,0,3.0,6.0
148,Chennai Super Kings,Mumbai Indians,1175370,SR Watson,6,0,0.0,1.0,6,0,0,0.0,1.0
147,Chennai Super Kings,Mumbai Indians,1175370,SN Thakur,12,0,1.0,1.0,5,0,0,2.0,5.0
146,Chennai Super Kings,Mumbai Indians,1175370,SK Raina,17,0,1.0,2.0,16,0,0,3.0,7.0
145,Chennai Super Kings,Mumbai Indians,1175370,RA Jadeja,1,0,0.0,0.0,2,0,0,0.0,0.0
144,Chennai Super Kings,Mumbai Indians,1175370,MS Dhoni,14,0,0.0,0.0,22,0,0,0.0,0.0
143,Chennai Super Kings,Mumbai Indians,1175370,MM Sharma,0,1,0.0,0.0,2,0,0,0.0,-2.0
139,Chennai Super Kings,Mumbai Indians,1175370,AT Rayudu,0,1,0.0,0.0,1,0,0,0.0,-2.0
153,Chennai Super Kings,Mumbai Indians,1178419,Harbhajan Singh,1,0,0.0,0.0,3,0,0,0.0,0.0
156,Chennai Super Kings,Mumbai Indians,1178419,MJ Santner,24,0,2.0,0.0,21,0,0,0.0,4.0
149,Chennai Super Kings,Mumbai Indians,1178419,AT Rayudu,0,1,0.0,0.0,3,0,0,0.0,-2.0
150,Chennai Super Kings,Mumbai Indians,1178419,DJ Bravo,20,0,0.0,2.0,17,0,0,0.0,2.0
