battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,dreamll_score
Chennai Super Kings,Delhi Capitals,1175360,AT Rayudu,5,0,0.0,1.0,5,0,0,10.0
Chennai Super Kings,Delhi Capitals,1175360,DJ Bravo,4,0,0.0,1.0,3,0,0,9.0
Chennai Super Kings,Delhi Capitals,1175360,KM Jadhav,28,0,0.0,2.0,34,0,0,34.0
Chennai Super Kings,Delhi Capitals,1175360,MS Dhoni,34,0,1.0,2.0,36,0,0,42.0
Chennai Super Kings,Delhi Capitals,1175360,SK Raina,34,0,1.0,5.0,16,0,0,45.0
Chennai Super Kings,Delhi Capitals,1175360,SR Watson,45,0,3.0,4.0,27,0,0,59.0
Chennai Super Kings,Delhi Capitals,1178425,AT Rayudu,7,0,0.0,1.0,3,0,0,12.0
Chennai Super Kings,Delhi Capitals,1178425,F du Plessis,42,0,2.0,2.0,43,0,0,52.0
Chennai Super Kings,Delhi Capitals,1178425,MS Dhoni,45,0,2.0,4.0,22,0,0,57.0
Chennai Super Kings,Delhi Capitals,1178425,RA Jadeja,25,0,2.0,2.0,10,0,0,35.0
Chennai Super Kings,Delhi Capitals,1178425,SK Raina,60,0,1.0,8.0,38,1,0,82.0
Chennai Super Kings,Delhi Capitals,1178425,SR Watson,0,1,0.0,0.0,9,0,0,2.0
Chennai Super Kings,Delhi Capitals,1181767,AT Rayudu,20,0,0.0,3.0,20,0,0,27.0
Chennai Super Kings,Delhi Capitals,1181767,DJ Bravo,4,0,0.0,1.0,1,0,0,9.0
Chennai Super Kings,Delhi Capitals,1181767,F du Plessis,50,0,1.0,7.0,39,1,0,71.0
Chennai Super Kings,Delhi Capitals,1181767,MS Dhoni,10,0,0.0,1.0,9,0,0,15.0
Chennai Super Kings,Delhi Capitals,1181767,SK Raina,11,0,0.0,0.0,13,0,0,15.0
Chennai Super Kings,Delhi Capitals,1181767,SR Watson,56,0,4.0,3.0,34,1,0,79.0
Chennai Super Kings,Delhi Capitals,1216539,AS Raut,10,0,0.0,0.0,10,0,0,14.0
Chennai Super Kings,Delhi Capitals,1216539,F du Plessis,90,0,0.0,8.0,36,1,0,110.0
Chennai Super Kings,Delhi Capitals,1216539,KM Jadhav,54,0,0.0,6.0,21,1,0,72.0
Chennai Super Kings,Delhi Capitals,1216539,M Vijay,20,0,0.0,2.0,15,0,0,26.0
Chennai Super Kings,Delhi Capitals,1216539,MS Dhoni,30,0,0.0,4.0,12,0,0,38.0
Chennai Super Kings,Delhi Capitals,1216539,RA Jadeja,28,0,0.0,2.0,10,0,0,34.0
Chennai Super Kings,Delhi Capitals,1216539,SM Curran,2,0,0.0,0.0,2,0,0,6.0
Chennai Super Kings,Delhi Capitals,1216539,SR Watson,28,0,2.0,2.0,16,0,0,38.0
Chennai Super Kings,Delhi Capitals,1254059,AS Raut,7,0,0.0,1.0,9,0,0,12.0
Chennai Super Kings,Delhi Capitals,1254059,AT Rayudu,28,0,1.0,2.0,16,0,0,36.0
Chennai Super Kings,Delhi Capitals,1254059,F du Plessis,0,1,0.0,0.0,3,0,0,2.0
Chennai Super Kings,Delhi Capitals,1254059,MM Ali,36,0,2.0,4.0,24,0,0,48.0
Chennai Super Kings,Delhi Capitals,1254059,MS Dhoni,0,1,0.0,0.0,2,0,0,2.0
Chennai Super Kings,Delhi Capitals,1254059,RA Jadeja,27,0,0.0,3.0,17,0,0,34.0
Chennai Super Kings,Delhi Capitals,1254059,SM Curran,35,0,2.0,4.0,16,0,0,47.0
Chennai Super Kings,Delhi Capitals,1254059,Suresh Raina,55,0,4.0,3.0,36,1,0,78.0
Chennai Super Kings,Delhi Daredevils,1136590,AT Rayudu,43,0,1.0,5.0,26,0,0,54.0
Chennai Super Kings,Delhi Daredevils,1136590,F du Plessis,36,0,1.0,3.0,33,0,0,45.0
Chennai Super Kings,Delhi Daredevils,1136590,MS Dhoni,52,0,5.0,2.0,22,1,0,76.0
Chennai Super Kings,Delhi Daredevils,1136590,SK Raina,1,0,0.0,0.0,2,0,0,5.0
Chennai Super Kings,Delhi Daredevils,1136590,SR Watson,79,0,7.0,4.0,41,1,0,109.0
Chennai Super Kings,Delhi Daredevils,1136612,AT Rayudu,50,0,4.0,4.0,29,1,0,74.0
Chennai Super Kings,Delhi Daredevils,1136612,DJ Bravo,1,0,0.0,0.0,2,0,0,5.0
Chennai Super Kings,Delhi Daredevils,1136612,DL Chahar,1,0,0.0,0.0,2,0,0,5.0
Chennai Super Kings,Delhi Daredevils,1136612,MS Dhoni,17,0,0.0,1.0,23,0,0,22.0
Chennai Super Kings,Delhi Daredevils,1136612,RA Jadeja,28,0,2.0,0.0,18,0,0,36.0
Chennai Super Kings,Delhi Daredevils,1136612,SK Raina,15,0,0.0,1.0,18,0,0,20.0
Chennai Super Kings,Delhi Daredevils,1136612,SR Watson,15,0,1.0,0.0,23,0,0,21.0
Chennai Super Kings,Delhi Daredevils,1136612,SW Billings,1,0,0.0,0.0,5,0,0,5.0
Chennai Super Kings,Kings XI Punjab,1136572,AT Rayudu,51,0,1.0,5.0,37,1,0,70.0
Chennai Super Kings,Kings XI Punjab,1136572,DJ Bravo,1,0,0.0,0.0,1,0,0,5.0
Chennai Super Kings,Kings XI Punjab,1136572,M Vijay,14,0,1.0,0.0,11,0,0,20.0
Chennai Super Kings,Kings XI Punjab,1136572,MS Dhoni,83,0,5.0,6.0,47,1,0,111.0
Chennai Super Kings,Kings XI Punjab,1136572,RA Jadeja,21,0,1.0,1.0,15,0,0,28.0
Chennai Super Kings,Kings XI Punjab,1136572,SR Watson,14,0,0.0,2.0,10,0,0,20.0
Chennai Super Kings,Kings XI Punjab,1136572,SW Billings,9,0,0.0,1.0,8,0,0,14.0
Chennai Super Kings,Kings XI Punjab,1136616,AT Rayudu,1,0,0.0,0.0,3,0,0,5.0
Chennai Super Kings,Kings XI Punjab,1136616,DL Chahar,40,0,3.0,1.0,21,0,0,51.0
Chennai Super Kings,Kings XI Punjab,1136616,F du Plessis,14,0,0.0,3.0,15,0,0,21.0
Chennai Super Kings,Kings XI Punjab,1136616,Harbhajan Singh,22,0,1.0,2.0,23,0,0,30.0
Chennai Super Kings,Kings XI Punjab,1136616,MS Dhoni,16,0,1.0,1.0,7,0,0,23.0
Chennai Super Kings,Kings XI Punjab,1136616,SK Raina,66,0,2.0,4.0,53,1,0,86.0
Chennai Super Kings,Kings XI Punjab,1136616,SW Billings,0,1,0.0,0.0,1,0,0,2.0
Chennai Super Kings,Kings XI Punjab,1178393,AT Rayudu,21,0,1.0,1.0,15,0,0,28.0
Chennai Super Kings,Kings XI Punjab,1178393,F du Plessis,55,0,4.0,2.0,39,1,0,77.0
Chennai Super Kings,Kings XI Punjab,1178393,MS Dhoni,39,0,1.0,4.0,25,0,0,49.0
Chennai Super Kings,Kings XI Punjab,1178393,SK Raina,18,0,0.0,1.0,21,0,0,23.0
Chennai Super Kings,Kings XI Punjab,1178393,SR Watson,27,0,1.0,3.0,25,0,0,36.0
Chennai Super Kings,Kings XI Punjab,1178430,AT Rayudu,1,0,0.0,0.0,2,0,0,5.0
Chennai Super Kings,Kings XI Punjab,1178430,DJ Bravo,1,0,0.0,0.0,1,0,0,5.0
Chennai Super Kings,Kings XI Punjab,1178430,F du Plessis,96,0,4.0,10.0,55,1,0,126.0
Chennai Super Kings,Kings XI Punjab,1178430,KM Jadhav,0,1,0.0,0.0,1,0,0,2.0
Chennai Super Kings,Kings XI Punjab,1178430,MS Dhoni,10,0,0.0,0.0,12,0,0,14.0
Chennai Super Kings,Kings XI Punjab,1178430,SK Raina,53,0,2.0,5.0,38,1,0,74.0
Chennai Super Kings,Kings XI Punjab,1178430,SR Watson,9,0,0.0,1.0,12,0,0,14.0
Chennai Super Kings,Kings XI Punjab,1216513,F du Plessis,89,0,1.0,11.0,55,1,0,114.0
Chennai Super Kings,Kings XI Punjab,1216513,SR Watson,92,0,3.0,11.0,53,1,0,121.0
Chennai Super Kings,Kolkata Knight Riders,1136565,AT Rayudu,39,0,2.0,3.0,26,0,0,50.0
Chennai Super Kings,Kolkata Knight Riders,1136565,DJ Bravo,12,0,0.0,0.0,5,0,0,16.0
Chennai Super Kings,Kolkata Knight Riders,1136565,MS Dhoni,28,0,1.0,1.0,30,0,0,35.0
Chennai Super Kings,Kolkata Knight Riders,1136565,RA Jadeja,12,0,1.0,0.0,8,0,0,18.0
Chennai Super Kings,Kolkata Knight Riders,1136565,SK Raina,14,0,1.0,0.0,12,0,0,20.0
Chennai Super Kings,Kolkata Knight Riders,1136565,SR Watson,42,0,3.0,3.0,19,0,0,55.0
Chennai Super Kings,Kolkata Knight Riders,1136565,SW Billings,58,0,5.0,2.0,23,1,0,82.0
Chennai Super Kings,Kolkata Knight Riders,1136593,AT Rayudu,21,0,0.0,3.0,17,0,0,28.0
Chennai Super Kings,Kolkata Knight Riders,1136593,F du Plessis,27,0,1.0,4.0,15,0,0,37.0
Chennai Super Kings,Kolkata Knight Riders,1136593,MS Dhoni,43,0,4.0,1.0,25,0,0,56.0
Chennai Super Kings,Kolkata Knight Riders,1136593,RA Jadeja,18,0,0.0,2.0,14,0,0,24.0
Chennai Super Kings,Kolkata Knight Riders,1136593,SK Raina,32,0,0.0,4.0,27,0,0,40.0
Chennai Super Kings,Kolkata Knight Riders,1136593,SR Watson,36,0,2.0,4.0,25,0,0,48.0
Chennai Super Kings,Kolkata Knight Riders,1178398,AT Rayudu,22,0,0.0,2.0,31,0,0,28.0
Chennai Super Kings,Kolkata Knight Riders,1178398,F du Plessis,48,0,0.0,3.0,46,0,0,55.0
Chennai Super Kings,Kolkata Knight Riders,1178398,KM Jadhav,9,0,0.0,1.0,8,0,0,14.0
Chennai Super Kings,Kolkata Knight Riders,1178398,SK Raina,15,0,1.0,1.0,14,0,0,22.0
Chennai Super Kings,Kolkata Knight Riders,1178398,SR Watson,17,0,1.0,2.0,9,0,0,25.0
Chennai Super Kings,Kolkata Knight Riders,1178404,AT Rayudu,6,0,0.0,0.0,12,0,0,10.0
Chennai Super Kings,Kolkata Knight Riders,1178404,F du Plessis,24,0,0.0,5.0,16,0,0,33.0
Chennai Super Kings,Kolkata Knight Riders,1178404,KM Jadhav,20,0,1.0,3.0,12,0,0,29.0
Chennai Super Kings,Kolkata Knight Riders,1178404,MS Dhoni,16,0,1.0,0.0,13,0,0,22.0
Chennai Super Kings,Kolkata Knight Riders,1178404,RA Jadeja,32,0,0.0,5.0,18,0,0,41.0
