,battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,dreamll_score
1299,Mumbai Indians,Chennai Super Kings,1136561,SA Yadav,43,0,1.0,6.0,29,0,0,55.0
124,Chennai Super Kings,Mumbai Indians,1136561,DL Chahar,0,1,0.0,0.0,1,0,0,2.0
125,Chennai Super Kings,Mumbai Indians,1136561,Harbhajan Singh,9,0,0.0,1.0,6,0,0,14.0
126,Chennai Super Kings,Mumbai Indians,1136561,Imran Tahir,2,0,0.0,0.0,2,0,0,6.0
127,Chennai Super Kings,Mumbai Indians,1136561,KM Jadhav,27,0,2.0,1.0,23,0,0,36.0
128,Chennai Super Kings,Mumbai Indians,1136561,MA Wood,3,0,0.0,0.0,5,0,0,7.0
129,Chennai Super Kings,Mumbai Indians,1136561,MS Dhoni,5,0,0.0,0.0,5,0,0,9.0
130,Chennai Super Kings,Mumbai Indians,1136561,RA Jadeja,12,0,0.0,1.0,13,0,0,17.0
131,Chennai Super Kings,Mumbai Indians,1136561,SK Raina,4,0,0.0,0.0,6,0,0,8.0
132,Chennai Super Kings,Mumbai Indians,1136561,SR Watson,16,0,1.0,1.0,14,0,0,23.0
1294,Mumbai Indians,Chennai Super Kings,1136561,E Lewis,0,1,0.0,0.0,2,0,0,2.0
1295,Mumbai Indians,Chennai Super Kings,1136561,HH Pandya,23,0,0.0,2.0,20,0,0,29.0
1296,Mumbai Indians,Chennai Super Kings,1136561,Ishan Kishan,41,0,1.0,4.0,29,0,0,51.0
1297,Mumbai Indians,Chennai Super Kings,1136561,KH Pandya,42,0,2.0,5.0,23,0,0,55.0
1298,Mumbai Indians,Chennai Super Kings,1136561,RG Sharma,16,0,1.0,1.0,19,0,0,23.0
122,Chennai Super Kings,Mumbai Indians,1136561,AT Rayudu,22,0,0.0,4.0,19,0,0,30.0
123,Chennai Super Kings,Mumbai Indians,1136561,DJ Bravo,69,0,7.0,3.0,30,1,0,98.0
604,Delhi Daredevils,Kings XI Punjab,1136562,DT Christian,15,0,1.0,0.0,13,0,0,21.0
606,Delhi Daredevils,Kings XI Punjab,1136562,R Tewatia,9,0,0.0,1.0,7,0,0,14.0
607,Delhi Daredevils,Kings XI Punjab,1136562,RR Pant,28,0,1.0,4.0,13,0,0,38.0
608,Delhi Daredevils,Kings XI Punjab,1136562,SS Iyer,13,0,1.0,0.0,13,0,0,19.0
609,Delhi Daredevils,Kings XI Punjab,1136562,V Shankar,14,0,0.0,0.0,14,0,0,18.0
747,Kings XI Punjab,Delhi Daredevils,1136562,DA Miller,24,0,0.0,1.0,23,0,0,29.0
748,Kings XI Punjab,Delhi Daredevils,1136562,KK Nair,50,0,2.0,5.0,33,1,0,71.0
750,Kings XI Punjab,Delhi Daredevils,1136562,MA Agarwal,7,0,1.0,0.0,5,0,0,13.0
751,Kings XI Punjab,Delhi Daredevils,1136562,MP Stoinis,23,0,0.0,2.0,15,0,0,29.0
752,Kings XI Punjab,Delhi Daredevils,1136562,Yuvraj Singh,12,0,0.0,2.0,22,0,0,18.0
749,Kings XI Punjab,Delhi Daredevils,1136562,KL Rahul,51,0,4.0,6.0,16,1,0,77.0
605,Delhi Daredevils,Kings XI Punjab,1136562,G Gambhir,56,0,1.0,5.0,42,1,0,75.0
603,Delhi Daredevils,Kings XI Punjab,1136562,CH Morris,27,0,1.0,1.0,16,0,0,34.0
602,Delhi Daredevils,Kings XI Punjab,1136562,C Munro,4,0,0.0,0.0,6,0,0,8.0
2255,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,Q de Kock,4,0,0.0,1.0,4,0,0,9.0
1202,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,KD Karthik,39,0,0.0,4.0,32,0,0,47.0
1203,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,N Rana,38,0,2.0,2.0,27,0,0,48.0
1204,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,R Vinay Kumar,7,0,0.0,1.0,4,0,0,12.0
1205,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,RK Singh,7,0,0.0,1.0,7,0,0,12.0
2251,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,AB de Villiers,44,0,5.0,1.0,23,0,0,59.0
2252,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,BB McCullum,48,0,2.0,6.0,28,0,0,62.0
1200,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,AD Russell,17,0,1.0,2.0,13,0,0,25.0
2254,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,Mandeep Singh,37,0,2.0,4.0,18,0,0,49.0
2256,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,SN Khan,7,0,0.0,0.0,10,0,0,11.0
