,battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,runs,dreamll_score
1299,Mumbai Indians,Chennai Super Kings,1136561,SA Yadav,43,0,1.0,6.0,29,0,0,13.0,21.0
1294,Mumbai Indians,Chennai Super Kings,1136561,E Lewis,0,1,0.0,0.0,2,0,0,0.0,-2.0
1295,Mumbai Indians,Chennai Super Kings,1136561,HH Pandya,23,0,0.0,2.0,20,0,0,0.0,2.0
1296,Mumbai Indians,Chennai Super Kings,1136561,Ishan Kishan,41,0,1.0,4.0,29,0,0,19.0,25.0
1297,Mumbai Indians,Chennai Super Kings,1136561,KH Pandya,42,0,2.0,5.0,23,0,0,10.0,19.0
1298,Mumbai Indians,Chennai Super Kings,1136561,RG Sharma,16,0,1.0,1.0,19,0,0,6.0,9.0
1300,Mumbai Indians,Chennai Super Kings,1136587,E Lewis,53,0,2.0,4.0,45,1,0,25.0,41.0
1303,Mumbai Indians,Chennai Super Kings,1136587,SA Yadav,45,0,1.0,5.0,35,0,0,19.0,26.0
1302,Mumbai Indians,Chennai Super Kings,1136587,RG Sharma,59,0,2.0,6.0,35,1,0,23.0,41.0
1301,Mumbai Indians,Chennai Super Kings,1136587,HH Pandya,13,0,1.0,0.0,8,0,0,0.0,2.0
1309,Mumbai Indians,Chennai Super Kings,1175370,SA Yadav,59,0,1.0,8.0,43,1,0,21.0,39.0
1304,Mumbai Indians,Chennai Super Kings,1175370,HH Pandya,26,0,3.0,1.0,9,0,0,4.0,11.0
1305,Mumbai Indians,Chennai Super Kings,1175370,KA Pollard,20,0,1.0,0.0,9,0,0,0.0,2.0
1306,Mumbai Indians,Chennai Super Kings,1175370,KH Pandya,42,0,1.0,5.0,32,0,0,16.0,23.0
1307,Mumbai Indians,Chennai Super Kings,1175370,Q de Kock,5,0,0.0,1.0,7,0,0,0.0,1.0
1310,Mumbai Indians,Chennai Super Kings,1175370,Yuvraj Singh,4,0,0.0,0.0,6,0,0,0.0,0.0
1308,Mumbai Indians,Chennai Super Kings,1175370,RG Sharma,14,0,0.0,1.0,19,0,0,0.0,1.0
1311,Mumbai Indians,Chennai Super Kings,1178419,E Lewis,34,0,1.0,3.0,31,0,0,16.0,21.0
1312,Mumbai Indians,Chennai Super Kings,1178419,HH Pandya,24,0,1.0,1.0,19,0,0,14.0,17.0
1313,Mumbai Indians,Chennai Super Kings,1178419,KA Pollard,13,0,0.0,2.0,12,0,0,0.0,2.0
1314,Mumbai Indians,Chennai Super Kings,1178419,KH Pandya,1,0,0.0,0.0,3,0,0,0.0,0.0
1315,Mumbai Indians,Chennai Super Kings,1178419,Q de Kock,16,0,1.0,1.0,10,0,0,6.0,9.0
1316,Mumbai Indians,Chennai Super Kings,1178419,RG Sharma,67,0,3.0,6.0,48,1,0,25.0,45.0
1321,Mumbai Indians,Chennai Super Kings,1181764,RG Sharma,4,0,0.0,1.0,2,0,0,0.0,1.0
1320,Mumbai Indians,Chennai Super Kings,1181764,Q de Kock,11,0,0.0,2.0,13,0,0,0.0,2.0
1322,Mumbai Indians,Chennai Super Kings,1181764,SA Yadav,71,0,0.0,10.0,54,1,0,0.0,18.0
1319,Mumbai Indians,Chennai Super Kings,1181764,KH Pandya,0,1,0.0,0.0,1,0,0,0.0,-2.0
1317,Mumbai Indians,Chennai Super Kings,1181764,HH Pandya,13,0,0.0,1.0,11,0,0,0.0,1.0
1318,Mumbai Indians,Chennai Super Kings,1181764,Ishan Kishan,33,0,1.0,2.0,32,0,0,19.0,23.0
1331,Mumbai Indians,Chennai Super Kings,1181768,SA Yadav,15,0,0.0,1.0,17,0,0,0.0,1.0
1330,Mumbai Indians,Chennai Super Kings,1181768,RG Sharma,15,0,1.0,1.0,14,0,0,5.0,8.0
1329,Mumbai Indians,Chennai Super Kings,1181768,RD Chahar,0,1,0.0,0.0,2,0,0,0.0,-2.0
1328,Mumbai Indians,Chennai Super Kings,1181768,Q de Kock,30,0,4.0,0.0,18,0,0,0.0,8.0
1327,Mumbai Indians,Chennai Super Kings,1181768,MJ McClenaghan,0,1,0.0,0.0,2,0,0,0.0,-2.0
1325,Mumbai Indians,Chennai Super Kings,1181768,KA Pollard,41,0,3.0,3.0,25,0,0,11.0,20.0
1324,Mumbai Indians,Chennai Super Kings,1181768,Ishan Kishan,25,0,0.0,3.0,28,0,0,0.0,3.0
1323,Mumbai Indians,Chennai Super Kings,1181768,HH Pandya,16,0,1.0,1.0,10,0,0,6.0,9.0
1326,Mumbai Indians,Chennai Super Kings,1181768,KH Pandya,7,0,0.0,0.0,7,0,0,0.0,0.0
1341,Mumbai Indians,Chennai Super Kings,1216492,SS Tiwary,84,0,2.0,6.0,31,1,0,48.0,66.0
1342,Mumbai Indians,Chennai Super Kings,1216492,TA Boult,0,1,0.0,0.0,1,0,0,0.0,-2.0
1340,Mumbai Indians,Chennai Super Kings,1216492,SA Yadav,38,0,0.0,4.0,18,0,0,0.0,4.0
1339,Mumbai Indians,Chennai Super Kings,1216492,RG Sharma,24,0,0.0,4.0,10,0,0,0.0,4.0
1337,Mumbai Indians,Chennai Super Kings,1216492,Q de Kock,70,0,0.0,10.0,20,1,0,0.0,18.0
1336,Mumbai Indians,Chennai Super Kings,1216492,KH Pandya,6,0,0.0,0.0,3,0,0,0.0,0.0
1335,Mumbai Indians,Chennai Super Kings,1216492,KA Pollard,38,0,2.0,2.0,14,0,0,18.0,24.0
1334,Mumbai Indians,Chennai Super Kings,1216492,James Pattinson,22,0,0.0,4.0,8,0,0,0.0,4.0
1332,Mumbai Indians,Chennai Super Kings,1216492,HH Pandya,28,0,4.0,0.0,10,0,0,0.0,8.0
1333,Mumbai Indians,Chennai Super Kings,1216492,JJ Bumrah,10,0,0.0,0.0,3,0,0,0.0,0.0
1338,Mumbai Indians,Chennai Super Kings,1216492,RD Chahar,4,0,0.0,0.0,4,0,0,0.0,0.0
1343,Mumbai Indians,Chennai Super Kings,1254084,HH Pandya,16,0,2.0,0.0,7,0,0,0.0,4.0
1349,Mumbai Indians,Chennai Super Kings,1254084,SA Yadav,3,0,0.0,0.0,3,0,0,0.0,0.0
1348,Mumbai Indians,Chennai Super Kings,1254084,RG Sharma,37,0,1.0,4.0,25,0,0,15.0,21.0
1347,Mumbai Indians,Chennai Super Kings,1254084,Q de Kock,39,0,1.0,4.0,29,0,0,17.0,23.0
1346,Mumbai Indians,Chennai Super Kings,1254084,KH Pandya,32,0,2.0,2.0,23,0,0,12.0,18.0
1345,Mumbai Indians,Chennai Super Kings,1254084,KA Pollard,92,0,8.0,6.0,36,1,0,20.0,50.0
1344,Mumbai Indians,Chennai Super Kings,1254084,JDS Neesham,0,1,0.0,0.0,1,0,0,0.0,-2.0
1354,Mumbai Indians,Chennai Super Kings,1254104,KA Pollard,16,0,1.0,1.0,14,0,0,6.0,9.0
1355,Mumbai Indians,Chennai Super Kings,1254104,KH Pandya,4,0,0.0,0.0,5,0,0,0.0,0.0
1350,Mumbai Indians,Chennai Super Kings,1254104,A Singh,16,0,1.0,2.0,14,0,0,2.0,6.0
1351,Mumbai Indians,Chennai Super Kings,1254104,Adam Milne,17,0,1.0,0.0,15,0,0,0.0,2.0
1356,Mumbai Indians,Chennai Super Kings,1254104,Q de Kock,17,0,0.0,3.0,12,0,0,0.0,3.0
1357,Mumbai Indians,Chennai Super Kings,1254104,RD Chahar,0,1,0.0,0.0,1,0,0,0.0,-2.0
1353,Mumbai Indians,Chennai Super Kings,1254104,JJ Bumrah,1,0,0.0,0.0,2,0,0,0.0,0.0
1352,Mumbai Indians,Chennai Super Kings,1254104,Ishan Kishan,11,0,0.0,1.0,10,0,0,0.0,1.0
1358,Mumbai Indians,Chennai Super Kings,1254104,SA Yadav,3,0,0.0,0.0,7,0,0,0.0,0.0
1359,Mumbai Indians,Chennai Super Kings,1254104,SS Tiwary,51,0,0.0,5.0,41,1,0,0.0,13.0
