matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,runs,dreamll_score
1254058,AB de Villiers,48,0,2.0,4.0,27,0,0,20.0,28.0
1254058,CA Lynn,50,0,3.0,4.0,35,1,0,16.0,34.0
1254058,Dan Christian,1,0,0.0,0.0,3,0,0,0.0,0.0
1254058,GJ Maxwell,41,0,2.0,3.0,29,0,0,17.0,24.0
1254058,HH Pandya,13,0,0.0,2.0,10,0,0,0.0,2.0
1254058,HV Patel,4,0,0.0,0.0,3,0,0,0.0,0.0
1254058,Ishan Kishan,29,0,1.0,2.0,20,0,0,15.0,19.0
1254058,JJ Bumrah,1,0,0.0,0.0,2,0,0,0.0,0.0
1254058,KA Pollard,7,0,0.0,1.0,9,0,0,0.0,1.0
1254058,KH Pandya,8,0,0.0,0.0,7,0,0,0.0,0.0
1254058,Kyle Jamieson,4,0,0.0,0.0,4,0,0,0.0,0.0
1254058,M Siraj,1,0,0.0,0.0,1,0,0,0.0,0.0
1254058,Marco Jansen,0,1,0.0,0.0,2,0,0,0.0,-2.0
1254058,RG Sharma,19,0,1.0,1.0,15,0,0,9.0,12.0
1254058,Rajat Patidar,9,0,0.0,1.0,8,0,0,0.0,1.0
1254058,S Ahmed,2,0,0.0,0.0,3,0,0,0.0,0.0
1254058,SA Yadav,32,0,1.0,4.0,23,0,0,10.0,16.0
1254058,V Kohli,34,0,0.0,4.0,29,0,0,0.0,4.0
1254058,Washington Sundar,16,0,0.0,0.0,15,0,0,0.0,0.0
1254059,AS Raut,7,0,0.0,1.0,9,0,0,0.0,1.0
1254059,AT Rayudu,28,0,1.0,2.0,16,0,0,14.0,18.0
1254059,F du Plessis,0,1,0.0,0.0,3,0,0,0.0,-2.0
1254059,MM Ali,36,0,2.0,4.0,24,0,0,8.0,16.0
1254059,MP Stoinis,15,0,0.0,3.0,9,0,0,0.0,3.0
1254059,MS Dhoni,0,1,0.0,0.0,2,0,0,0.0,-2.0
1254059,PP Shaw,72,0,3.0,9.0,38,1,0,18.0,41.0
1254059,RA Jadeja,27,0,0.0,3.0,17,0,0,0.0,3.0
1254059,RR Pant,16,0,0.0,2.0,13,0,0,0.0,2.0
1254059,S Dhawan,87,0,2.0,10.0,54,1,0,35.0,57.0
1254059,SM Curran,35,0,2.0,4.0,16,0,0,7.0,15.0
1254059,Suresh Raina,55,0,4.0,3.0,36,1,0,19.0,38.0
1254060,A Samad,19,0,2.0,0.0,8,0,0,0.0,4.0
1254060,AD Russell,10,0,0.0,1.0,6,0,0,0.0,1.0
1254060,DA Warner,3,0,0.0,0.0,4,0,0,0.0,0.0
1254060,EJG Morgan,2,0,0.0,0.0,3,0,0,0.0,0.0
1254060,JM Bairstow,56,0,3.0,5.0,41,1,0,18.0,37.0
1254060,KD Karthik,23,0,1.0,2.0,9,0,0,9.0,13.0
1254060,M Nabi,17,0,0.0,2.0,11,0,0,0.0,2.0
1254060,MK Pandey,63,0,3.0,2.0,46,1,0,37.0,53.0
1254060,N Rana,80,0,4.0,9.0,56,1,0,20.0,45.0
1254060,RA Tripathi,53,0,2.0,5.0,29,1,0,21.0,38.0
1254060,Shakib Al Hasan,4,0,0.0,0.0,6,0,0,0.0,0.0
1254060,Shubman Gill,15,0,1.0,1.0,13,0,0,5.0,8.0
1254060,V Shankar,12,0,1.0,0.0,7,0,0,0.0,2.0
1254060,WP Saha,7,0,1.0,0.0,6,0,0,0.0,2.0
1254061,BA Stokes,0,1,0.0,0.0,3,0,0,0.0,-2.0
1254061,CH Gayle,41,0,2.0,4.0,29,0,0,13.0,21.0
1254061,CH Morris,2,0,0.0,0.0,4,0,0,0.0,0.0
1254061,DJ Hooda,65,0,6.0,3.0,27,1,0,17.0,40.0
1254061,JC Buttler,26,0,0.0,5.0,13,0,0,0.0,5.0
1254061,Jhye Richardson,0,1,0.0,0.0,2,0,0,0.0,-2.0
1254061,KL Rahul,94,0,5.0,7.0,50,1,0,36.0,61.0
1254061,M Vohra,13,0,1.0,1.0,9,0,0,3.0,6.0
1254061,MA Agarwal,15,0,0.0,2.0,10,0,0,0.0,2.0
1254061,N Pooran,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254061,R Parag,26,0,3.0,1.0,12,0,0,4.0,11.0
1254061,R Tewatia,3,0,0.0,0.0,4,0,0,0.0,0.0
1254061,S Dube,23,0,0.0,3.0,15,0,0,0.0,3.0
1254061,SV Samson,124,0,7.0,12.0,64,1,1,34.0,84.0
1254061,Shahrukh Khan,6,0,0.0,1.0,4,0,0,0.0,1.0
1254062,AD Russell,10,0,0.0,1.0,14,0,0,0.0,1.0
1254062,EJG Morgan,7,0,0.0,1.0,7,0,0,0.0,1.0
1254062,HH Pandya,15,0,0.0,2.0,17,0,0,0.0,2.0
1254062,Harbhajan Singh,2,0,0.0,0.0,2,0,0,0.0,0.0
1254062,Ishan Kishan,1,0,0.0,0.0,3,0,0,0.0,0.0
1254062,JJ Bumrah,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254062,KA Pollard,5,0,0.0,1.0,8,0,0,0.0,1.0
1254062,KD Karthik,8,0,0.0,0.0,11,0,0,0.0,0.0
1254062,KH Pandya,19,0,0.0,4.0,9,0,0,0.0,4.0
1254062,Marco Jansen,1,0,0.0,0.0,2,0,0,0.0,0.0
1254062,N Rana,64,0,2.0,7.0,48,1,0,24.0,43.0
1254062,PJ Cummins,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254062,Q de Kock,2,0,0.0,0.0,6,0,0,0.0,0.0
1254062,RA Tripathi,5,0,0.0,0.0,5,0,0,0.0,0.0
1254062,RD Chahar,8,0,0.0,0.0,7,0,0,0.0,0.0
1254062,RG Sharma,43,0,1.0,3.0,32,0,0,25.0,30.0
1254062,SA Yadav,58,0,2.0,7.0,37,1,0,18.0,37.0
1254062,Shakib Al Hasan,13,0,0.0,2.0,9,0,0,0.0,2.0
1254062,Shubman Gill,33,0,1.0,5.0,24,0,0,7.0,14.0
1254063,A Samad,0,1,0.0,0.0,2,0,0,0.0,-2.0
1254063,AB de Villiers,1,0,0.0,0.0,5,0,0,0.0,0.0
1254063,DA Warner,56,0,1.0,7.0,39,1,0,22.0,39.0
1254063,Dan Christian,1,0,0.0,0.0,2,0,0,0.0,0.0
1254063,Devdutt Padikkal,13,0,0.0,2.0,13,0,0,0.0,2.0
1254063,GJ Maxwell,64,0,3.0,5.0,42,1,0,26.0,45.0
1254063,JM Bairstow,14,0,0.0,1.0,13,0,0,0.0,1.0
1254063,JO Holder,5,0,0.0,0.0,5,0,0,0.0,0.0
1254063,Kyle Jamieson,13,0,0.0,2.0,9,0,0,0.0,2.0
1254063,MK Pandey,40,0,2.0,2.0,39,0,0,20.0,26.0
1254063,P Kumar,2,0,0.0,0.0,2,0,0,0.0,0.0
1254063,Rashid Khan,18,0,1.0,0.0,8,0,0,0.0,2.0
1254063,S Ahmed,15,0,1.0,0.0,10,0,0,0.0,2.0
