,battingteam,bowlingteam,matchid,batsmanname,SR
337,Mumbai Indians,Royal Challengers Bangalore,1254058,KH Pandya,114.28571428571428
334,Mumbai Indians,Royal Challengers Bangalore,1254058,Ishan Kishan,145.0
333,Mumbai Indians,Royal Challengers Bangalore,1254058,HH Pandya,130.0
332,Mumbai Indians,Royal Challengers Bangalore,1254058,CA Lynn,142.85714285714286
601,Royal Challengers Bangalore,Mumbai Indians,1254058,Washington Sundar,106.66666666666669
600,Royal Challengers Bangalore,Mumbai Indians,1254058,V Kohli,117.2413793103448
599,Royal Challengers Bangalore,Mumbai Indians,1254058,S Ahmed,66.66666666666666
598,Royal Challengers Bangalore,Mumbai Indians,1254058,Rajat Patidar,112.5
597,Royal Challengers Bangalore,Mumbai Indians,1254058,M Siraj,100.0
596,Royal Challengers Bangalore,Mumbai Indians,1254058,Kyle Jamieson,100.0
595,Royal Challengers Bangalore,Mumbai Indians,1254058,HV Patel,133.33333333333331
594,Royal Challengers Bangalore,Mumbai Indians,1254058,GJ Maxwell,141.3793103448276
593,Royal Challengers Bangalore,Mumbai Indians,1254058,Dan Christian,33.33333333333333
592,Royal Challengers Bangalore,Mumbai Indians,1254058,AB de Villiers,177.77777777777777
335,Mumbai Indians,Royal Challengers Bangalore,1254058,JJ Bumrah,50.0
336,Mumbai Indians,Royal Challengers Bangalore,1254058,KA Pollard,77.77777777777779
339,Mumbai Indians,Royal Challengers Bangalore,1254058,RG Sharma,126.66666666666666
340,Mumbai Indians,Royal Challengers Bangalore,1254058,SA Yadav,139.1304347826087
338,Mumbai Indians,Royal Challengers Bangalore,1254058,Marco Jansen,0.0
6,Chennai Super Kings,Delhi Capitals,1254059,SM Curran,218.75
83,Delhi Capitals,Chennai Super Kings,1254059,MP Stoinis,166.66666666666669
84,Delhi Capitals,Chennai Super Kings,1254059,PP Shaw,189.4736842105263
85,Delhi Capitals,Chennai Super Kings,1254059,RR Pant,123.07692307692308
86,Delhi Capitals,Chennai Super Kings,1254059,S Dhawan,161.11111111111111
7,Chennai Super Kings,Delhi Capitals,1254059,Suresh Raina,152.77777777777777
4,Chennai Super Kings,Delhi Capitals,1254059,MS Dhoni,0.0
3,Chennai Super Kings,Delhi Capitals,1254059,MM Ali,150.0
2,Chennai Super Kings,Delhi Capitals,1254059,F du Plessis,0.0
1,Chennai Super Kings,Delhi Capitals,1254059,AT Rayudu,175.0
0,Chennai Super Kings,Delhi Capitals,1254059,AS Raut,77.77777777777779
5,Chennai Super Kings,Delhi Capitals,1254059,RA Jadeja,158.8235294117647
677,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,DA Warner,75.0
250,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,Shakib Al Hasan,66.66666666666666
682,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,WP Saha,116.66666666666669
249,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,RA Tripathi,182.7586206896552
676,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,A Samad,237.5
678,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,JM Bairstow,136.58536585365854
679,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,M Nabi,154.54545454545453
680,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,MK Pandey,136.95652173913044
251,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,Shubman Gill,115.38461538461536
248,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,N Rana,142.85714285714286
247,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,KD Karthik,255.55555555555557
245,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,AD Russell,166.66666666666669
246,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,EJG Morgan,66.66666666666666
681,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,V Shankar,171.42857142857142
416,Punjab Kings,Rajasthan Royals,1254061,Shahrukh Khan,150.0
412,Punjab Kings,Rajasthan Royals,1254061,Jhye Richardson,0.0
413,Punjab Kings,Rajasthan Royals,1254061,KL Rahul,188.0
410,Punjab Kings,Rajasthan Royals,1254061,CH Gayle,141.3793103448276
411,Punjab Kings,Rajasthan Royals,1254061,DJ Hooda,240.74074074074076
414,Punjab Kings,Rajasthan Royals,1254061,MA Agarwal,150.0
506,Rajasthan Royals,Punjab Kings,1254061,S Dube,153.33333333333334
501,Rajasthan Royals,Punjab Kings,1254061,CH Morris,50.0
505,Rajasthan Royals,Punjab Kings,1254061,R Tewatia,75.0
504,Rajasthan Royals,Punjab Kings,1254061,R Parag,216.66666666666663
507,Rajasthan Royals,Punjab Kings,1254061,SV Samson,193.75
503,Rajasthan Royals,Punjab Kings,1254061,M Vohra,144.44444444444443
502,Rajasthan Royals,Punjab Kings,1254061,JC Buttler,200.0
500,Rajasthan Royals,Punjab Kings,1254061,BA Stokes,0.0
415,Punjab Kings,Rajasthan Royals,1254061,N Pooran,0.0
296,Mumbai Indians,Kolkata Knight Riders,1254062,HH Pandya,88.23529411764706
198,Kolkata Knight Riders,Mumbai Indians,1254062,Harbhajan Singh,100.0
299,Mumbai Indians,Kolkata Knight Riders,1254062,KA Pollard,62.5
199,Kolkata Knight Riders,Mumbai Indians,1254062,KD Karthik,72.72727272727273
201,Kolkata Knight Riders,Mumbai Indians,1254062,PJ Cummins,0.0
202,Kolkata Knight Riders,Mumbai Indians,1254062,RA Tripathi,100.0
203,Kolkata Knight Riders,Mumbai Indians,1254062,Shakib Al Hasan,144.44444444444443
204,Kolkata Knight Riders,Mumbai Indians,1254062,Shubman Gill,137.5
297,Mumbai Indians,Kolkata Knight Riders,1254062,Ishan Kishan,33.33333333333333
303,Mumbai Indians,Kolkata Knight Riders,1254062,RD Chahar,114.28571428571428
300,Mumbai Indians,Kolkata Knight Riders,1254062,KH Pandya,211.11111111111111
302,Mumbai Indians,Kolkata Knight Riders,1254062,Q de Kock,33.33333333333333
197,Kolkata Knight Riders,Mumbai Indians,1254062,EJG Morgan,100.0
301,Mumbai Indians,Kolkata Knight Riders,1254062,Marco Jansen,50.0
196,Kolkata Knight Riders,Mumbai Indians,1254062,AD Russell,71.42857142857143
305,Mumbai Indians,Kolkata Knight Riders,1254062,SA Yadav,156.75675675675674
304,Mumbai Indians,Kolkata Knight Riders,1254062,RG Sharma,134.375
298,Mumbai Indians,Kolkata Knight Riders,1254062,JJ Bumrah,0.0
200,Kolkata Knight Riders,Mumbai Indians,1254062,N Rana,133.33333333333331
635,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,AB de Villiers,20.0
736,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,P Kumar,100.0
640,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,S Ahmed,150.0
739,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,V Shankar,60.0
639,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,Kyle Jamieson,144.44444444444443
636,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,Dan Christian,50.0
638,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,GJ Maxwell,152.38095238095238
737,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,Rashid Khan,225.0
637,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,Devdutt Padikkal,100.0
734,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,JO Holder,100.0
731,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,A Samad,0.0
642,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,Washington Sundar,72.72727272727273
641,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,V Kohli,117.2413793103448
732,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,DA Warner,143.5897435897436
735,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,MK Pandey,102.56410256410255
740,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,WP Saha,55.55555555555556
738,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,S Nadeem,0.0
733,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,JM Bairstow,107.6923076923077
127,Delhi Capitals,Rajasthan Royals,1254064,AM Rahane,111.11111111111111
129,Delhi Capitals,Rajasthan Royals,1254064,K Rabada,225.0
133,Delhi Capitals,Rajasthan Royals,1254064,R Ashwin,200.0
131,Delhi Capitals,Rajasthan Royals,1254064,MP Stoinis,0.0
132,Delhi Capitals,Rajasthan Royals,1254064,PP Shaw,40.0
134,Delhi Capitals,Rajasthan Royals,1254064,RR Pant,162.5
135,Delhi Capitals,Rajasthan Royals,1254064,S Dhawan,81.81818181818183
136,Delhi Capitals,Rajasthan Royals,1254064,TK Curran,131.25
479,Rajasthan Royals,Delhi Capitals,1254064,SV Samson,133.33333333333331
130,Delhi Capitals,Rajasthan Royals,1254064,L Yadav,84.0
