battingteam,bowlingteam,matchid,batsmanname,0
Chennai Super Kings,Delhi Capitals,1175360,AT Rayudu,100.0
Chennai Super Kings,Delhi Capitals,1175360,DJ Bravo,133.33333333333331
Chennai Super Kings,Delhi Capitals,1175360,KM Jadhav,82.35294117647058
Chennai Super Kings,Delhi Capitals,1175360,MS Dhoni,94.44444444444444
Chennai Super Kings,Delhi Capitals,1175360,SK Raina,212.5
Chennai Super Kings,Delhi Capitals,1175360,SR Watson,166.66666666666669
Chennai Super Kings,Delhi Capitals,1178425,AT Rayudu,233.33333333333334
Chennai Super Kings,Delhi Capitals,1178425,F du Plessis,97.67441860465115
Chennai Super Kings,Delhi Capitals,1178425,MS Dhoni,204.54545454545453
Chennai Super Kings,Delhi Capitals,1178425,RA Jadeja,250.0
Chennai Super Kings,Delhi Capitals,1178425,SK Raina,157.89473684210526
Chennai Super Kings,Delhi Capitals,1178425,SR Watson,0.0
Chennai Super Kings,Delhi Capitals,1181767,AT Rayudu,100.0
Chennai Super Kings,Delhi Capitals,1181767,DJ Bravo,400.0
Chennai Super Kings,Delhi Capitals,1181767,F du Plessis,128.2051282051282
Chennai Super Kings,Delhi Capitals,1181767,MS Dhoni,111.11111111111111
Chennai Super Kings,Delhi Capitals,1181767,SK Raina,84.61538461538461
Chennai Super Kings,Delhi Capitals,1181767,SR Watson,164.70588235294116
Chennai Super Kings,Delhi Capitals,1216539,AS Raut,100.0
Chennai Super Kings,Delhi Capitals,1216539,F du Plessis,250.0
Chennai Super Kings,Delhi Capitals,1216539,KM Jadhav,257.14285714285717
Chennai Super Kings,Delhi Capitals,1216539,M Vijay,133.33333333333331
Chennai Super Kings,Delhi Capitals,1216539,MS Dhoni,250.0
Chennai Super Kings,Delhi Capitals,1216539,RA Jadeja,280.0
Chennai Super Kings,Delhi Capitals,1216539,SM Curran,100.0
Chennai Super Kings,Delhi Capitals,1216539,SR Watson,175.0
Chennai Super Kings,Delhi Capitals,1254059,AS Raut,77.77777777777779
Chennai Super Kings,Delhi Capitals,1254059,AT Rayudu,175.0
Chennai Super Kings,Delhi Capitals,1254059,F du Plessis,0.0
Chennai Super Kings,Delhi Capitals,1254059,MM Ali,150.0
Chennai Super Kings,Delhi Capitals,1254059,MS Dhoni,0.0
Chennai Super Kings,Delhi Capitals,1254059,RA Jadeja,158.8235294117647
Chennai Super Kings,Delhi Capitals,1254059,SM Curran,218.75
Chennai Super Kings,Delhi Capitals,1254059,Suresh Raina,152.77777777777777
Chennai Super Kings,Delhi Daredevils,1136590,AT Rayudu,165.3846153846154
Chennai Super Kings,Delhi Daredevils,1136590,F du Plessis,109.09090909090908
Chennai Super Kings,Delhi Daredevils,1136590,MS Dhoni,236.36363636363637
Chennai Super Kings,Delhi Daredevils,1136590,SK Raina,50.0
Chennai Super Kings,Delhi Daredevils,1136590,SR Watson,192.6829268292683
Chennai Super Kings,Delhi Daredevils,1136612,AT Rayudu,172.41379310344826
Chennai Super Kings,Delhi Daredevils,1136612,DJ Bravo,50.0
Chennai Super Kings,Delhi Daredevils,1136612,DL Chahar,50.0
Chennai Super Kings,Delhi Daredevils,1136612,MS Dhoni,73.91304347826086
Chennai Super Kings,Delhi Daredevils,1136612,RA Jadeja,155.55555555555557
Chennai Super Kings,Delhi Daredevils,1136612,SK Raina,83.33333333333334
Chennai Super Kings,Delhi Daredevils,1136612,SR Watson,65.21739130434783
Chennai Super Kings,Delhi Daredevils,1136612,SW Billings,20.0
Chennai Super Kings,Kings XI Punjab,1136572,AT Rayudu,137.83783783783784
Chennai Super Kings,Kings XI Punjab,1136572,DJ Bravo,100.0
Chennai Super Kings,Kings XI Punjab,1136572,M Vijay,127.27272727272727
Chennai Super Kings,Kings XI Punjab,1136572,MS Dhoni,176.59574468085106
Chennai Super Kings,Kings XI Punjab,1136572,RA Jadeja,140.0
Chennai Super Kings,Kings XI Punjab,1136572,SR Watson,140.0
Chennai Super Kings,Kings XI Punjab,1136572,SW Billings,112.5
Chennai Super Kings,Kings XI Punjab,1136616,AT Rayudu,33.33333333333333
Chennai Super Kings,Kings XI Punjab,1136616,DL Chahar,190.47619047619045
Chennai Super Kings,Kings XI Punjab,1136616,F du Plessis,93.33333333333333
Chennai Super Kings,Kings XI Punjab,1136616,Harbhajan Singh,95.65217391304348
Chennai Super Kings,Kings XI Punjab,1136616,MS Dhoni,228.57142857142856
Chennai Super Kings,Kings XI Punjab,1136616,SK Raina,124.52830188679245
Chennai Super Kings,Kings XI Punjab,1136616,SW Billings,0.0
Chennai Super Kings,Kings XI Punjab,1178393,AT Rayudu,140.0
Chennai Super Kings,Kings XI Punjab,1178393,F du Plessis,141.02564102564102
Chennai Super Kings,Kings XI Punjab,1178393,MS Dhoni,156.0
Chennai Super Kings,Kings XI Punjab,1178393,SK Raina,85.71428571428571
Chennai Super Kings,Kings XI Punjab,1178393,SR Watson,108.0
Chennai Super Kings,Kings XI Punjab,1178430,AT Rayudu,50.0
Chennai Super Kings,Kings XI Punjab,1178430,DJ Bravo,100.0
Chennai Super Kings,Kings XI Punjab,1178430,F du Plessis,174.54545454545453
Chennai Super Kings,Kings XI Punjab,1178430,KM Jadhav,0.0
Chennai Super Kings,Kings XI Punjab,1178430,MS Dhoni,83.33333333333334
Chennai Super Kings,Kings XI Punjab,1178430,SK Raina,139.4736842105263
Chennai Super Kings,Kings XI Punjab,1178430,SR Watson,75.0
Chennai Super Kings,Kings XI Punjab,1216513,F du Plessis,161.8181818181818
Chennai Super Kings,Kings XI Punjab,1216513,SR Watson,173.58490566037736
